Authors,Film ID
Hope Loring,2becf7d5-a3de-46ab-ae45-abdd6b588067
 Louis D. Lighton,2becf7d5-a3de-46ab-ae45-abdd6b588067
James Gleason,de063f3f-2d35-4e1c-8636-6eb4c16bd236
 Norman Houston,de063f3f-2d35-4e1c-8636-6eb4c16bd236
 Sarah Y. Mason,de063f3f-2d35-4e1c-8636-6eb4c16bd236
Tom Barry,a0644f19-a136-44c2-ab5d-50978ef19608
Frances Marion,297aa285-29d7-4a22-b833-c5632ab3e562
 Martin Flavin,297aa285-29d7-4a22-b833-c5632ab3e562
 Joseph Farnham,297aa285-29d7-4a22-b833-c5632ab3e562
 Lennox Robinson,297aa285-29d7-4a22-b833-c5632ab3e562
Howard Estabrook,db2683c0-128e-4b5c-858f-d9f18c2fb9b9
 Edna Ferber,db2683c0-128e-4b5c-858f-d9f18c2fb9b9
William A. Drake,be69f946-6adc-47e4-8491-79d6c033f59d
Frances Marion,c8994348-093e-4e22-8ffe-6ad3332a2bab
 Leonard Praskins,c8994348-093e-4e22-8ffe-6ad3332a2bab
 Wanda Tuchock,c8994348-093e-4e22-8ffe-6ad3332a2bab
Reginald Berkeley,e71a2212-92c3-4212-9eb2-d468f10c768e
Rian James,1ad59370-1ed5-4d3a-a8c4-8571f95da168
 James Seymour,1ad59370-1ed5-4d3a-a8c4-8571f95da168
 Whitney Bolton,1ad59370-1ed5-4d3a-a8c4-8571f95da168
Frank Borzage,39ab1f95-f400-4cdc-be82-425015486234
 Ernest Hemingway,39ab1f95-f400-4cdc-be82-425015486234
 Benjamin Glazer,39ab1f95-f400-4cdc-be82-425015486234
 Oliver H.P. Garrett,39ab1f95-f400-4cdc-be82-425015486234
Sarah Y. Mason,f6fa2e25-588d-414f-a59d-67b9eb033270
 Victor Heerman,f6fa2e25-588d-414f-a59d-67b9eb033270
Lajos Biró,625a769c-475b-4c27-8c25-01905fe4f583
 Arthur Wimperis,625a769c-475b-4c27-8c25-01905fe4f583
Mae West,af3be976-1cee-4383-a6f1-50545a634ab5
 Harvey Thew,af3be976-1cee-4383-a6f1-50545a634ab5
 John Bright,af3be976-1cee-4383-a6f1-50545a634ab5
Robert Riskin,88fe2d2b-3e07-4c9f-9978-388b4f7b0c93
Ernest Vajda,d66f2e6e-b9a6-4f20-972b-315f3998b5a4
 Claudine West,d66f2e6e-b9a6-4f20-972b-315f3998b5a4
 Donald Ogden Stewart,d66f2e6e-b9a6-4f20-972b-315f3998b5a4
George Marion Jr.,4cff46f4-7853-40a0-9b52-39643b2d257a
 Edward Kaufman,4cff46f4-7853-40a0-9b52-39643b2d257a
 Dwight Taylor,4cff46f4-7853-40a0-9b52-39643b2d257a
 Dorothy Yost,4cff46f4-7853-40a0-9b52-39643b2d257a
William Hurlbut,ec7b23f4-2394-4739-adaa-6dbeb10b0b28
Dashiell Hammett,3ae65a34-8ae8-42c5-9404-06faa25b3cb0
 Frances Goodrich,3ae65a34-8ae8-42c5-9404-06faa25b3cb0
 Albert Hackett,3ae65a34-8ae8-42c5-9404-06faa25b3cb0
Jules Furthman,3cea2927-f5a4-4ffb-9e17-88566f2cd111
 Talbot Jennings,3cea2927-f5a4-4ffb-9e17-88566f2cd111
 Carey Wilson,3cea2927-f5a4-4ffb-9e17-88566f2cd111
Mortimer Offner,73d8b0a6-dc25-48c0-aa51-e73990fc02d2
 Dorothy Yost,73d8b0a6-dc25-48c0-aa51-e73990fc02d2
Casey Robinson,106183d2-50d3-4d50-8ead-6ed52a93f7c6
Dudley Nichols,98c15d3b-d3c6-4af3-b717-12d446154f5d
Mary C. McCall Jr.,dee5c6d4-6438-4110-b72a-a49322b52070
 Charles Kenyon,dee5c6d4-6438-4110-b72a-a49322b52070
Dwight Taylor,c7ea701f-f0be-4108-b734-14412b70d3b2
 Allan Scott,c7ea701f-f0be-4108-b734-14412b70d3b2
William Anthony McGuire,321ede7b-fac6-4259-b070-b403b3404042
Sidney Howard,693ad8e8-f9cf-4c4d-b332-18026348de67
George Oppenheimer,c41fc4b0-1b68-49d4-a45e-02699fbb9ec1
 Maurine Dallas Watkins,c41fc4b0-1b68-49d4-a45e-02699fbb9ec1
 Wallace Sullivan,c41fc4b0-1b68-49d4-a45e-02699fbb9ec1
 Howard Emmet Rogers,c41fc4b0-1b68-49d4-a45e-02699fbb9ec1
 Maurine Watkins,c41fc4b0-1b68-49d4-a45e-02699fbb9ec1
Robert Riskin,9a189d11-e4f6-4b2b-9762-702806ce4a85
Talbot Jennings,1b04f1e8-f46b-403f-a5df-89ebebb52e4a
Anita Loos,d9c9ba4b-4fcd-4253-ba8b-8a80ea852fb9
 Erich von Stroheim,d9c9ba4b-4fcd-4253-ba8b-8a80ea852fb9
 Robert E. Hopkins,d9c9ba4b-4fcd-4253-ba8b-8a80ea852fb9
S.N. Behrmann,da9c58f7-84b6-4d02-a66a-b5b19d3eea7f
 W.P. Lipscomb,da9c58f7-84b6-4d02-a66a-b5b19d3eea7f
Adele Comandini,8866b966-f0a8-4881-88f6-ac7c24e9e1e5
 Austin Parker,8866b966-f0a8-4881-88f6-ac7c24e9e1e5
Norman Reilly Raine,0538990c-5cfe-4b21-b733-386740e5cbd6
 Heinz Herald,0538990c-5cfe-4b21-b733-386740e5cbd6
 Geza Herczeg,0538990c-5cfe-4b21-b733-386740e5cbd6
Viña Delmar,fe542b19-4de9-465d-8b97-19ff88872e56
John Lee Mahin,bb80b913-a013-4ff1-8c07-7e0ff28c4557
 Marc Connelly,bb80b913-a013-4ff1-8c07-7e0ff28c4557
 Dale Van Every,bb80b913-a013-4ff1-8c07-7e0ff28c4557
 Marc Connolly,bb80b913-a013-4ff1-8c07-7e0ff28c4557
Lillian Hellman,5df24f1d-57f8-4d1d-a15d-df07ea5715b1
Claudine West,6d9e1900-6589-43ae-b80f-863d03cbbdaa
 Talbot Jennings,6d9e1900-6589-43ae-b80f-863d03cbbdaa
 Tess Slesinger,6d9e1900-6589-43ae-b80f-863d03cbbdaa
 Donald Davis,6d9e1900-6589-43ae-b80f-863d03cbbdaa
Robert Riskin,20f2a079-71bd-4c1c-aff7-46237962b8cb
Gregory La Cava,5a739df8-434b-46e9-82c0-9b8f71c9c946
 Morrie Ryskind,5a739df8-434b-46e9-82c0-9b8f71c9c946
 Anthony Veiller,5a739df8-434b-46e9-82c0-9b8f71c9c946
Dorothy Parker,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 Alan Campbell,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 Bob Carson,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 Ring Lardner Jr.,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 Budd Schulberg,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 David O. Selznick,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 William Wellman,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 John Lee Mahin,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 Ben Hecht,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 Adela Rogers St. John,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 W. Howard Greene,ea80da77-0642-48c5-a2eb-1d03fb856d2f
Norman Reilly Raine,bec32b70-fccd-4f50-b68d-88cca2d2fc7b
 Seton I. Miller,bec32b70-fccd-4f50-b68d-88cca2d2fc7b
 Michael Curtiz,bec32b70-fccd-4f50-b68d-88cca2d2fc7b
 William Keighley,bec32b70-fccd-4f50-b68d-88cca2d2fc7b
Lamar Trotti,a380741f-f2ba-415d-a5b5-f81f826f93a7
 Kathryn Scola,a380741f-f2ba-415d-a5b5-f81f826f93a7
 Irving Berlin,a380741f-f2ba-415d-a5b5-f81f826f93a7
 Richard Sherman,a380741f-f2ba-415d-a5b5-f81f826f93a7
Dore Schary,ebce9bc4-4abc-4b48-929f-30a29b1edd7d
 Eleanore Griffin,ebce9bc4-4abc-4b48-929f-30a29b1edd7d
 John Meehan,ebce9bc4-4abc-4b48-929f-30a29b1edd7d
Ian Dalrymple,84a31ac1-04d7-4810-af0a-b639d529f159
 Frank Wead,84a31ac1-04d7-4810-af0a-b639d529f159
 Elizabeth Hill,84a31ac1-04d7-4810-af0a-b639d529f159
 Emlyn Williams,84a31ac1-04d7-4810-af0a-b639d529f159
Casey Robinson,ae377884-4d60-47f5-893a-1d2577eb6405
 Bertram Bloch,ae377884-4d60-47f5-893a-1d2577eb6405
R.C. Sherriff,72360bec-f930-4772-beac-21bee3e92055
 Eric Maschwitz,72360bec-f930-4772-beac-21bee3e92055
 Claudine West,72360bec-f930-4772-beac-21bee3e92055
 James Hilton,72360bec-f930-4772-beac-21bee3e92055
 Sidney Franklin,72360bec-f930-4772-beac-21bee3e92055
Delmer Daves,c04357fe-39cc-414f-b871-94be98bc38ed
 Donald Ogden Stewart,c04357fe-39cc-414f-b871-94be98bc38ed
 Leo McCarey,c04357fe-39cc-414f-b871-94be98bc38ed
Sidney Buchman,38d9b2bf-23d2-4827-8bfa-336ba0dbf1c3
Charles Brackett,62d27610-e080-4569-9260-c7883e13adbc
 Billy Wilder,62d27610-e080-4569-9260-c7883e13adbc
 Walter Reisch,62d27610-e080-4569-9260-c7883e13adbc
 Ernst Lubitsch,62d27610-e080-4569-9260-c7883e13adbc
