Directors,Film ID
William Wellman,2becf7d5-a3de-46ab-ae45-abdd6b588067
Harry Beaumont,de063f3f-2d35-4e1c-8636-6eb4c16bd236
Irving Cummings,a0644f19-a136-44c2-ab5d-50978ef19608
 Raoul Walsh,a0644f19-a136-44c2-ab5d-50978ef19608
George W. Hill,297aa285-29d7-4a22-b833-c5632ab3e562
Wesley Ruggles,db2683c0-128e-4b5c-858f-d9f18c2fb9b9
Edmund Goulding,be69f946-6adc-47e4-8491-79d6c033f59d
King Vidor,c8994348-093e-4e22-8ffe-6ad3332a2bab
Frank Lloyd,e71a2212-92c3-4212-9eb2-d468f10c768e
Lloyd Bacon,1ad59370-1ed5-4d3a-a8c4-8571f95da168
Frank Borzage,39ab1f95-f400-4cdc-be82-425015486234
George Cukor,f6fa2e25-588d-414f-a59d-67b9eb033270
Alexander Korda,625a769c-475b-4c27-8c25-01905fe4f583
Lowell Sherman,af3be976-1cee-4383-a6f1-50545a634ab5
Frank Capra,88fe2d2b-3e07-4c9f-9978-388b4f7b0c93
Sidney Franklin,d66f2e6e-b9a6-4f20-972b-315f3998b5a4
Mark Sandrich,4cff46f4-7853-40a0-9b52-39643b2d257a
John M. Stahl,ec7b23f4-2394-4739-adaa-6dbeb10b0b28
W.S. Van Dyke,3ae65a34-8ae8-42c5-9404-06faa25b3cb0
Frank Lloyd,3cea2927-f5a4-4ffb-9e17-88566f2cd111
George Stevens,73d8b0a6-dc25-48c0-aa51-e73990fc02d2
Michael Curtiz,106183d2-50d3-4d50-8ead-6ed52a93f7c6
John Ford,98c15d3b-d3c6-4af3-b717-12d446154f5d
William Dieterle,dee5c6d4-6438-4110-b72a-a49322b52070
 Max Reinhardt,dee5c6d4-6438-4110-b72a-a49322b52070
Mark Sandrich,c7ea701f-f0be-4108-b734-14412b70d3b2
Robert Z. Leonard,321ede7b-fac6-4259-b070-b403b3404042
William Wyler,693ad8e8-f9cf-4c4d-b332-18026348de67
Jack Conway,c41fc4b0-1b68-49d4-a45e-02699fbb9ec1
Frank Capra,9a189d11-e4f6-4b2b-9762-702806ce4a85
George Cukor,1b04f1e8-f46b-403f-a5df-89ebebb52e4a
D.W. Griffith,d9c9ba4b-4fcd-4253-ba8b-8a80ea852fb9
 W.S. Van Dyke,d9c9ba4b-4fcd-4253-ba8b-8a80ea852fb9
Jack Conway,da9c58f7-84b6-4d02-a66a-b5b19d3eea7f
Henry Koster,8866b966-f0a8-4881-88f6-ac7c24e9e1e5
Irving Rapper,0538990c-5cfe-4b21-b733-386740e5cbd6
 William Dieterle,0538990c-5cfe-4b21-b733-386740e5cbd6
Leo McCarey,fe542b19-4de9-465d-8b97-19ff88872e56
Victor Fleming,bb80b913-a013-4ff1-8c07-7e0ff28c4557
William Wyler,5df24f1d-57f8-4d1d-a15d-df07ea5715b1
Sidney Franklin,6d9e1900-6589-43ae-b80f-863d03cbbdaa
 Victor Fleming,6d9e1900-6589-43ae-b80f-863d03cbbdaa
Frank Capra,20f2a079-71bd-4c1c-aff7-46237962b8cb
Gregory La Cava,5a739df8-434b-46e9-82c0-9b8f71c9c946
William Wellman,ea80da77-0642-48c5-a2eb-1d03fb856d2f
 Jack Conway,ea80da77-0642-48c5-a2eb-1d03fb856d2f
Michael Curtiz,bec32b70-fccd-4f50-b68d-88cca2d2fc7b
 William Keighley,bec32b70-fccd-4f50-b68d-88cca2d2fc7b
Henry King,a380741f-f2ba-415d-a5b5-f81f826f93a7
Norman Taurog,ebce9bc4-4abc-4b48-929f-30a29b1edd7d
King Vidor,84a31ac1-04d7-4810-af0a-b639d529f159
Edmund Goulding,ae377884-4d60-47f5-893a-1d2577eb6405
Sam Wood,72360bec-f930-4772-beac-21bee3e92055
Leo McCarey,c04357fe-39cc-414f-b871-94be98bc38ed
Frank Capra,38d9b2bf-23d2-4827-8bfa-336ba0dbf1c3
Ernst Lubitsch,62d27610-e080-4569-9260-c7883e13adbc
Lewis Milestone,45488a28-fbf5-4264-944a-d0daa7030486
John Ford,48e19755-7fc6-48d3-af96-7024e9f688ef
King Vidor,736cefc8-1a8f-4249-943d-7dce78308ddf
