Oscar Year,Film ID
1927,2becf7d5-a3de-46ab-ae45-abdd6b588067
1928,de063f3f-2d35-4e1c-8636-6eb4c16bd236
1929,281742f9-3b4e-480d-b704-c8c15de6b721
1930,db2683c0-128e-4b5c-858f-d9f18c2fb9b9
1931,be69f946-6adc-47e4-8491-79d6c033f59d
1932,e71a2212-92c3-4212-9eb2-d468f10c768e
1934,88fe2d2b-3e07-4c9f-9978-388b4f7b0c93
1935,3cea2927-f5a4-4ffb-9e17-88566f2cd111
1936,321ede7b-fac6-4259-b070-b403b3404042
1937,0538990c-5cfe-4b21-b733-386740e5cbd6
1938,7530ae81-5165-4431-8a05-5e3a75811021
1939,bcad3809-e6ad-471a-8e05-1035efaaaaf4
1940,e39af7f6-07a0-44e2-ad07-3924634c0aea
1941,86576fae-02a5-4f78-afe5-908908310def
1942,697603ab-2be4-4a8c-88be-b96bdfe299cf
1943,5450540a-1dec-4572-8752-75c5ae55cf7d
1944,e8c09304-ad53-4c4d-9d08-72b059d37892
1945,0b7a2648-33c4-4eed-b40d-86b581f69c9c
1946,0d07ce49-6844-4370-b4d7-10d9f02565ba
1947,2de2c926-1509-4aca-bb49-6a2514c7ec7a
1948,443109e2-d3c6-4b1d-9bec-3c732801d861
1949,80c1f8b9-36f0-4648-9103-1a27b4b15d6f
1950,95920d24-3ce7-41e7-bf13-35f70fa38da1
1951,11fe2b71-cbc2-446f-a3d6-2c5b75ca4dd3
1952,cc4a95ef-5ae4-4c0a-8ccb-086764ef8c36
1953,4053e1d8-c821-4247-a020-baca7eaef18d
1954,6e80353a-6ace-497d-9c6c-1756457a6dc8
1955,0e335b5a-ed13-4c51-8028-d489d57a1e75
1956,a0ddcb59-a173-4ffb-9139-3a1a71d006aa
1957,fc627090-b4c0-418b-8437-94b0f41d9bba
1958,7d5a1db5-c60e-458c-9f9e-4ce599f4118a
1959,0bb257f6-e9ee-4afd-b8f0-69c2ea1167ae
1960,bec485c9-8736-4ec5-8275-478478dc1d20
1961,ef8f5e5d-f603-44ab-b358-091f26b0da7b
1962,77641adf-a5dc-4475-9e3b-dd61c4e32951
1963,e96a144c-3f01-4f2f-a3ee-fc54bcd81df9
1964,c3a074a7-658b-4a79-a049-eb30cdf3de0e
1965,457971a1-ae06-42ce-9ddd-17e9be9b32af
1966,d9e00e8e-315d-4507-9eb2-bf89bde7779a
1967,467a1595-1c69-442d-ab43-92f68b932ddc
1968,bc77f25e-71fa-4563-be5d-47648fe69070
1969,bc91f715-a16b-4de7-8aa5-7b0b2f875bdb
1970,542831fe-9ee4-4997-badb-98cabd43c3d2
1971,02e62c41-fdb4-401f-a2a5-615fec952f9e
1972,fa8d4d3c-41e1-488f-a30d-715a0ff09764
1973,bb6ef738-b9e4-49a2-b8fb-ab2429add488
1974,a29ebc75-3d9a-441f-966c-7b53a3478a71
1975,93bd4453-5aa2-48b8-b2a6-c3f564fda13c
1976,9cc026b8-3a23-4db9-a703-c2353be1ee4d
1977,50965bec-a059-4941-954a-07fddfa5a5e5
1978,dcfb372f-430d-4998-a7f2-f23a78863ed4
1979,40ddb2ef-ead7-4129-9a4a-005bcb9385db
1980,c7fdd5fc-4ab9-4195-8462-51c65f7cddd0
1981,dd41a9d6-8ccd-493a-8208-c515dd3053c1
1982,f4628a4a-c61d-4c53-8ee3-c44d18c7d400
1983,a9656df0-28f7-4c29-b304-676781b0aee1
1984,eae6dbc2-eeb2-428f-a591-0edebbd0c579
1985,13188c13-9d17-47b3-951d-02210617670d
1986,7e6ac04e-1578-40f4-a38d-62fd5169e065
1987,451afb73-2c85-47f1-ac5b-f9989f0c7519
1988,fffb86d7-7db1-427c-866c-06a2e79d745a
1989,feca6bb0-53c9-4495-a143-476bd692387b
1990,98f8f2a9-a385-4248-a892-7c0857fb5260
1991,a6694bfa-4746-421e-bfab-5dd4a062b942
1992,2ec120ec-af89-47c0-a5de-ee0f0789cf1b
1993,cb4bf724-69a8-4c3a-9334-de33c424441e
1994,f93d65fb-33ab-4b66-9367-a50edabc2d3e
1995,67a299f8-aabe-4cde-b74e-e71136632ea3
1996,30efb856-db60-4652-a757-97ae45337801
1997,e7dc77ed-e48d-4cc4-9951-64802f947ce2
1998,fa9d4ada-fefc-4e5c-a485-799c66b69fc8
1999,393ea3e0-1e32-4c65-8401-e36ab93bf22c
2000,3e67a3b9-f24a-420b-b9f8-78870126e1df
2001,69218a0a-fbd1-4a2b-a19b-fc194d43d435
2002,5ca65d3f-4b1e-4c9f-a629-06f111c3c7c2
2003,7591962a-1d5a-48dd-a362-8546b21ced73
2004,a360a577-fb0b-4bd2-ae39-35fb5dbb3deb
2005,4585c429-08f0-4e20-8b9d-d6dcc8fcfbe1
2006,bc73e784-5ad5-45b4-a7b4-132f0ffade15
2007,29a90339-c5f5-4022-8b33-ea349c4b1bd9
2008,04b5c110-03a9-43dd-ada0-9d5ec5a2b140
2009,9b4177d0-0aaf-4921-ab28-50fa0b20affc
2010,ab6ff668-b31b-42b4-a406-468b3660562c
2011,d200f517-17a4-4d43-8be6-2cf5d36d6bfa
2012,df2afe2f-24a3-4bef-bbbc-716e24c5c723
2013,219ec9bd-2d5c-40c8-b914-bca2446ddcda
2014,2a5cefcd-9f9e-481c-bcc3-721365d97672
2015,e8728900-9b21-4486-8a41-893439f118f3
2016,194103bc-9dbe-4396-ad61-8370f887ce45
2017,05e574cc-0583-419f-9300-257cf0c4d110
2018,4dd226cc-dc68-40e7-a5b3-3b1bfff594f1
2019,db1a7b9b-b141-4816-a78a-1ba660b98dba
2020,f04508ab-e957-49aa-908e-c1286123a493
